nutrient_key,nutrient_name,supporting_abstract_count,nutrient_search_terms,deficiency_terms_used
iron,"Iron
(mg)",123,iron,anaemia|anemia|below requirement|deficiencies|deficiency|deficient|inadequate intake|iron deficiency|iron-deficiency anaemia|iron-deficiency anemia|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
protein,"Protein, total
(g)",32,protein,below requirement|deficiencies|deficiency|deficient|inadequate intake|kwashiorkor|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|protein deficiency|protein energy malnutrition|protein-energy malnutrition|stunting|suboptimal intake|undernutrition|wasting
vitamin_a,"Vitamin A (expressed in retinol activity equivalents)
(mcg)",23,vitamin a|retinol|retinol activity equivalent|retinol activity equivalents|rae,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|night blindness|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|vitamin a deficiency|wasting|xerophthalmia
zinc,"Zinc
(mg)",15,zinc,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting|zinc deficiency
folate,"Folate, total or [folate, sum of vitamers] (vitamin B9)
(mcg)",15,folate|folic acid|vitamin b9|b9,below requirement|deficiencies|deficiency|deficient|folate deficiency|folic acid deficiency|inadequate intake|low intake|low status|malnutrition|megaloblastic anemia|micronutrient deficiency|neural tube defect|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
vitamin_c,"Vitamin C
(mg)",7,vitamin c|ascorbic acid,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
sodium,"Sodium
(mg)",6,sodium|salt,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
vitamin_b12,"Vitamin B12
(mcg)",5,vitamin b12|b12|cobalamin,below requirement|cobalamin deficiency|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|megaloblastic anemia|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|vitamin b12 deficiency|wasting
calcium,"Calcium
(mg)",4,calcium,below requirement|calcium deficiency|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|rickets|stunting|suboptimal intake|undernutrition|wasting
net_carbs,"net_carbs
(g)",3,net carbohydrate|net carbohydrates|carbohydrate|carbohydrates,below requirement|deficiencies|deficiency|deficient|excess carbohydrate intake|high carbohydrate intake|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|refined carbohydrate|stunting|suboptimal intake|undernutrition|wasting
magnesium,"Magnesium
(mg)",2,magnesium,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
vitamin_d,"Vitamin D 
(mcg)",2,vitamin d|cholecalciferol,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|rickets|stunting|suboptimal intake|undernutrition|vitamin d deficiency|wasting
polyunsaturated_fat,"Fatty acids, total polyunsaturated
(g)",2,polyunsaturated fat|polyunsaturated fatty acid|polyunsaturated fatty acids|pufa,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
phosphorus,"Phosphorus
(mg)",1,phosphorus|phosphate,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
copper,"Copper
(mg)",1,copper,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
potassium,"Potassium
(mg)",1,potassium,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
fiber,"Fibre, total dietary or [fibre, crude]
(g)",1,fiber|fibre|dietary fiber|dietary fibre,below requirement|deficiencies|deficiency|deficient|inadequate fiber intake|inadequate fibre intake|inadequate intake|low fiber intake|low fibre intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
saturated_fat,"Fatty acids, total saturated
(g)",0,saturated fat|saturated fatty acid|saturated fatty acids,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
linoleic_acid,"Linoleic acid 
(g)",0,linoleic acid,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
monounsaturated_fat,"Fatty acids, total monounsaturated 
(g)",0,monounsaturated fat|monounsaturated fatty acid|monounsaturated fatty acids|mufa,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
vitamin_b6,"Vitamin B6
(mg)",0,vitamin b6|b6|pyridoxine,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
niacin,"Niacin, preformed
(mg)",0,niacin|vitamin b3|b3,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
riboflavin,"Riboflavin (vitamin B2)
(mg)",0,riboflavin|vitamin b2|b2,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
thiamine,"Thiamine (vitamin B1)
(mg)",0,thiamine|vitamin b1|b1,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
alpha_linolenic_acid,"Alpha-linolenic acid
(g)",0,alpha-linolenic acid|alpha linolenic acid|ala,below requirement|deficiencies|deficiency|deficient|inadequate intake|low intake|low status|malnutrition|micronutrient deficiency|not meeting requirements|poor intake|poor status|stunting|suboptimal intake|undernutrition|wasting
